#Transition #Interation #MFPT(s)
1.0 5.0 1.1485295452145156e-08
2.0 6.0 2.1447713632755465e-08
3.0 6.0 2.1302787397528253e-08
4.0 16.0 5.240452917229716e-08
5.0 28.0 6.184857585922016e-08
6.0 28.0 6.834252225460511e-08
7.0 28.0 7.308194687517635e-08
8.0 28.0 7.669327627635348e-08
9.0 33.0 8.121042794218799e-08
10.0 40.0 9.065335699985207e-08
11.0 40.0 9.892547614978229e-08
12.0 40.0 1.062318238110546e-07
13.0 40.0 1.1273220250476583e-07
14.0 46.0 1.1833927002373116e-07
15.0 62.0 1.2356220127313905e-07
16.0 85.0 1.261442040187506e-07
17.0 85.0 1.2865945600759275e-07
18.0 85.0 1.311105127114898e-07
19.0 85.0 1.3349980078616184e-07
20.0 86.0 1.3588813927461084e-07
21.0 86.0 1.3819797839332608e-07
22.0 86.0 1.4043312571835128e-07
23.0 87.0 1.4098066883907073e-07
24.0 87.0 1.4152382106802863e-07
25.0 87.0 1.4206263501185922e-07
26.0 87.0 1.425971624401762e-07
27.0 100.0 1.7608794614786217e-07
28.0 104.0 1.7624669728820848e-07
29.0 114.0 1.771008058103156e-07
30.0 114.0 1.7794870006195797e-07
31.0 114.0 1.7879044761740598e-07
32.0 114.0 1.7962611507474205e-07
33.0 121.0 1.9930998227487478e-07
34.0 123.0 2.0158546672820337e-07
35.0 123.0 2.0382445935322823e-07
36.0 123.0 2.0602783099350084e-07
37.0 129.0 2.413200739171579e-07
38.0 129.0 2.431065287713378e-07
39.0 129.0 2.44864483972988e-07
40.0 129.0 2.465946161157247e-07
41.0 130.0 2.47022881030006e-07
42.0 130.0 2.474494580914483e-07
43.0 130.0 2.4787435725852937e-07
44.0 130.0 2.4829758841153933e-07
45.0 142.0 2.7033238635873924e-07
46.0 145.0 2.9769758347255057e-07
47.0 145.0 3.0044489279795376e-07
48.0 145.0 3.0311440772477477e-07
49.0 145.0 3.057093864295327e-07
50.0 145.0 3.082329076490463e-07
51.0 151.0 3.088047700719571e-07
52.0 151.0 3.09373952090093e-07
53.0 151.0 3.0994047280524976e-07
54.0 152.0 3.144443466178892e-07
55.0 158.0 3.1590140141880423e-07
56.0 165.0 3.1795460072209466e-07
57.0 165.0 3.1996531045560283e-07
58.0 165.0 3.219348360574956e-07
59.0 166.0 3.2242093289727364e-07
60.0 166.0 3.229045533119683e-07
61.0 166.0 3.233857161777547e-07
62.0 166.0 3.23864440179453e-07
63.0 195.0 3.2570566930447127e-07
64.0 195.0 3.275282672032619e-07
65.0 195.0 3.2933251524372453e-07
66.0 195.0 3.311186891565305e-07
67.0 209.0 3.5241652629260015e-07
68.0 223.0 3.5204468095678767e-07
69.0 223.0 3.516745797613573e-07
70.0 249.0 3.525134286266093e-07
71.0 260.0 3.645335217865452e-07
72.0 278.0 3.823993256254336e-07
73.0 278.0 3.9943648882500067e-07
74.0 309.0 4.1137935722946876e-07
75.0 328.0 4.1577789383429263e-07
76.0 329.0 4.464880102852775e-07
77.0 331.0 4.580395254978914e-07
78.0 331.0 4.69260669472031e-07
79.0 331.0 4.801654152309192e-07
80.0 331.0 4.907669587688097e-07
81.0 333.0 4.950336922707592e-07
82.0 336.0 5.410693761681523e-07
83.0 347.0 4.826099690529306e-07
84.0 351.0 5.003277702495888e-07
85.0 352.0 4.99479782937045e-07
86.0 352.0 4.98634811393359e-07
87.0 352.0 4.977935742807226e-07
88.0 357.0 5.069745677051352e-07
89.0 357.0 5.159473863795597e-07
90.0 357.0 5.247190313297493e-07
91.0 357.0 5.332961931307854e-07
92.0 382.0 5.306163219604336e-07
93.0 382.0 5.279845465374238e-07
94.0 382.0 5.253995836127712e-07
95.0 382.0 5.228601951864406e-07
96.0 390.0 5.205533307511102e-07
97.0 392.0 5.172852432530216e-07
98.0 404.0 5.166001176110982e-07
99.0 404.0 5.159182467183446e-07
100.0 404.0 5.152396074367652e-07
101.0 405.0 5.150704504582519e-07
102.0 405.0 5.149014936652379e-07
103.0 405.0 5.147327367025748e-07
104.0 405.0 5.145641792159541e-07
105.0 439.0 5.108002643616554e-07
106.0 443.0 5.108177488092959e-07
107.0 472.0 5.031818475883888e-07
108.0 473.0 5.03718199151054e-07
109.0 473.0 5.042465171013234e-07
110.0 474.0 5.043773643216281e-07
111.0 474.0 5.045077234039222e-07
112.0 474.0 5.046375970746881e-07
113.0 474.0 5.047669880401406e-07
114.0 474.0 5.048958989864172e-07
115.0 474.0 5.050243325797589e-07
116.0 474.0 5.051522914666987e-07
117.0 475.0 5.051842077865627e-07
118.0 475.0 5.05216094641989e-07
119.0 475.0 5.052479520737603e-07
120.0 475.0 5.052797801225838e-07
121.0 480.0 5.054389509205966e-07
122.0 480.0 5.055972300573601e-07
123.0 480.0 5.057546250044623e-07
124.0 481.0 5.057938371534292e-07
125.0 481.0 5.058329946163764e-07
126.0 481.0 5.058720975076236e-07
127.0 481.0 5.059111459411717e-07
128.0 484.0 5.045706400973207e-07
129.0 484.0 5.032386137064393e-07
130.0 486.0 5.036183458402871e-07
131.0 486.0 5.039957603483405e-07
132.0 486.0 5.043708783838565e-07
133.0 486.0 5.04743720843448e-07
134.0 500.0 5.055489246922534e-07
135.0 501.0 5.117637606587215e-07
136.0 511.0 5.245732541746117e-07
137.0 514.0 5.268368722301668e-07
138.0 535.0 5.328532583325038e-07
139.0 535.0 5.387208458882061e-07
140.0 535.0 5.444450876429417e-07
141.0 538.0 5.457398691677066e-07
142.0 538.0 5.470233467435269e-07
143.0 538.0 5.482956677588638e-07
144.0 538.0 5.495569770509342e-07
145.0 542.0 5.504639458829534e-07
146.0 542.0 5.513653492146341e-07
147.0 542.0 5.52261238117271e-07
148.0 542.0 5.531516630391961e-07
149.0 552.0 5.46578197614578e-07
150.0 568.0 5.450190749569128e-07
151.0 568.0 5.434725035113739e-07
152.0 568.0 5.419383323263508e-07
153.0 569.0 5.415567106146448e-07
154.0 569.0 5.411758523241884e-07
155.0 569.0 5.40795755166473e-07
156.0 569.0 5.404164168621284e-07
157.0 572.0 5.381905809584496e-07
158.0 573.0 5.376395819163298e-07
159.0 573.0 5.370903560973133e-07
160.0 573.0 5.365428949552814e-07
161.0 573.0 5.359971899989451e-07
162.0 582.0 5.348948672070355e-07
163.0 587.0 5.310437422948942e-07
164.0 597.0 5.307449798050275e-07
165.0 597.0 5.304473957920127e-07
166.0 597.0 5.301509832967735e-07
167.0 597.0 5.298557354149185e-07
168.0 599.0 5.388908615173048e-07
169.0 620.0 5.374493414131636e-07
170.0 622.0 5.346968399450011e-07
171.0 623.0 5.344200352118585e-07
172.0 623.0 5.34143519208232e-07
173.0 632.0 5.322008533602995e-07
174.0 632.0 5.302829976493365e-07
175.0 632.0 5.283894802713817e-07
176.0 632.0 5.265198400872861e-07
177.0 644.0 5.249505937304955e-07
178.0 654.0 5.251035683143987e-07
179.0 654.0 5.252551666132382e-07
180.0 654.0 5.254054070910451e-07
181.0 655.0 5.266792649573071e-07
182.0 657.0 5.270915883408918e-07
183.0 657.0 5.274995742004578e-07
184.0 657.0 5.279032906221492e-07
185.0 657.0 5.28302804274529e-07
186.0 666.0 5.278280619144469e-07
187.0 666.0 5.281661312353037e-07
188.0 667.0 5.290922029004272e-07
189.0 670.0 5.292055240537958e-07
190.0 670.0 5.293184093392861e-07
191.0 670.0 5.294308612667935e-07
192.0 670.0 5.295428823269793e-07
193.0 673.0 5.071210969649765e-07
194.0 680.0 5.078516950755663e-07
195.0 702.0 5.092907153946338e-07
196.0 705.0 5.135354014503857e-07
197.0 718.0 5.241123949524466e-07
198.0 734.0 5.279579273556816e-07
199.0 751.0 5.281361859864716e-07
200.0 759.0 5.334091928883055e-07
201.0 765.0 5.442092991237731e-07
202.0 780.0 5.488283756723948e-07
203.0 796.0 5.490289146244856e-07
204.0 796.0 5.492293363602896e-07
205.0 796.0 5.494296409825471e-07
206.0 797.0 5.49479698924331e-07
207.0 797.0 5.495297495545242e-07
208.0 798.0 5.495797929479006e-07
209.0 798.0 5.495923026542448e-07
210.0 798.0 5.496048119038391e-07
211.0 798.0 5.496173206967086e-07
212.0 798.0 5.496298290328782e-07
213.0 801.0 5.57878236308012e-07
214.0 805.0 5.800891075640451e-07
215.0 819.0 5.835534871499153e-07
216.0 819.0 5.869823271597595e-07
217.0 820.0 5.93302784854717e-07
218.0 820.0 5.966320362592041e-07
219.0 820.0 5.974590976003349e-07
220.0 820.0 5.982840742220345e-07
221.0 820.0 5.991069739966053e-07
222.0 820.0 5.99927804756763e-07
223.0 835.0 5.967605382074736e-07
224.0 846.0 6.0162676656425e-07
225.0 846.0 6.064293642416324e-07
226.0 846.0 6.11169578094701e-07
227.0 846.0 6.158486044780112e-07
228.0 861.0 6.189346996373822e-07
229.0 861.0 6.219977004090333e-07
230.0 861.0 6.250378650623273e-07
231.0 862.0 6.257943689146921e-07
232.0 862.0 6.265494653668278e-07
233.0 862.0 6.273031583425766e-07
234.0 862.0 6.280554517512084e-07
235.0 894.0 6.302251039510191e-07
236.0 894.0 6.323853319703038e-07
237.0 894.0 6.345361970788241e-07
238.0 895.0 6.350724580732209e-07
239.0 895.0 6.35608138627823e-07
240.0 895.0 6.361432396845079e-07
241.0 896.0 6.362769246477887e-07
242.0 896.0 6.364105734658281e-07
243.0 896.0 6.365441861532835e-07
244.0 896.0 6.366777627248041e-07
245.0 909.0 6.400744888953387e-07
246.0 924.0 6.405033364189111e-07
247.0 924.0 6.409318350361797e-07
248.0 925.0 6.410389053252234e-07
249.0 925.0 6.411459538407821e-07
250.0 925.0 6.412529805894968e-07
251.0 925.0 6.413599855780059e-07
252.0 933.0 6.376364364744622e-07
253.0 935.0 6.39756283061297e-07
254.0 949.0 6.596284254739364e-07
255.0 950.0 6.644979227140365e-07
256.0 950.0 6.693304424194051e-07
257.0 950.0 6.741264041917161e-07
258.0 950.0 6.788862213080069e-07
259.0 965.0 6.794990865676216e-07
260.0 965.0 6.801113705246526e-07
261.0 965.0 6.807230740057561e-07
262.0 965.0 6.813341978360212e-07
263.0 986.0 6.905151238059777e-07
264.0 986.0 6.995790439238477e-07
265.0 986.0 7.085281807895736e-07
266.0 986.0 7.173647010643787e-07
